0 100 384,504,1224,1224
1 100 2352,312,1224,1224
2 100 2352,336,1224,1200
3 100 2352,336,1224,1200
4 100 2376,312,1224,1224
5 100 2376,336,1224,1200
6 100 2376,336,1224,1200
7 100 2376,336,1224,1200
8 100 2376,336,1224,1200
9 100 2376,336,1224,1200
10 100 2400,336,1224,1200
11 100 2400,336,1224,1224
12 100 2424,360,1224,1200
13 100 2448,384,1224,1200
14 100 2472,408,1224,1224
15 100 2496,456,1224,1224
16 100 2520,504,1224,1224
17 100 2496,552,1224,1224
18 100 2448,600,1224,1200
19 100 2424,624,1224,1200
20 100 2400,600,1224,1224
21 100 2400,600,1224,1224
22 100 2400,600,1224,1200
23 100 2400,576,1224,1224
24 100 2400,576,1224,1200
25 100 2376,552,1224,1200
26 100 2328,528,1224,1200
27 100 2280,528,1224,1200
28 100 2208,504,1224,1200
29 100 2136,504,1224,1200
30 100 2040,504,1224,1200
31 100 1968,480,1224,1224
32 100 1896,480,1224,1224
33 100 1824,480,1224,1224
34 100 1728,480,1224,1200
35 100 1656,480,1224,1200
36 100 1584,480,1224,1200
37 100 1536,480,1224,1224
38 100 1464,480,1224,1200
39 100 1392,480,1224,1200
40 100 1344,480,1224,1200
41 100 1320,480,1224,1200
42 100 1296,480,1224,1200
43 100 1272,480,1224,1200
44 100 1272,480,1224,1200
45 100 1248,480,1224,1200
46 100 1248,480,1224,1200
47 100 1248,456,1224,1224
48 100 1248,456,1224,1200
49 100 1248,432,1224,1224
50 100 1248,432,1224,1200
51 100 1248,432,1224,1200
52 100 1248,432,1224,1224
53 100 1248,432,1224,1224
54 100 1272,456,1224,1224
55 100 1272,504,1224,1200
56 100 1272,504,1224,1224
57 100 1296,528,1224,1224
58 100 1296,528,1224,1200
59 100 1296,528,1224,1200
60 100 1296,528,1224,1224
61 100 1296,528,1224,1200
62 100 1296,528,1224,1200
63 100 1320,528,1224,1200
64 100 1320,528,1224,1200
65 100 1320,528,1224,1200
66 100 1320,528,1224,1200
67 100 1320,528,1224,1200
68 100 1320,504,1224,1200
69 100 1296,480,1224,1224
70 100 1296,480,1224,1224
71 100 1320,504,1224,1200
72 100 1296,504,1224,1200
73 100 1296,504,1224,1200
74 100 1296,504,1224,1200
75 100 1296,504,1224,1200
76 100 1296,504,1224,1200
77 100 1320,528,1224,1200
78 100 1296,504,1224,1224
79 100 1296,504,1224,1200
80 100 1296,504,1224,1200
81 100 1296,504,1224,1200
82 100 1272,480,1224,1200
83 100 1272,480,1224,1200
84 100 1272,480,1224,1200
85 100 1272,456,1224,1224
86 100 1248,456,1224,1200
87 100 1248,432,1224,1224
88 100 1248,432,1224,1224
89 100 1248,432,1224,1200
90 100 1224,408,1224,1224
91 100 1224,408,1224,1200
92 100 1224,408,1224,1200
93 100 1224,408,1224,1200
94 100 1224,408,1224,1200
95 100 1224,408,1224,1200
96 100 1224,408,1224,1224
97 100 1224,408,1224,1224
98 100 1224,408,1224,1224
99 100 1224,408,1224,1224
100 100 1200,408,1224,1224
101 100 1200,408,1224,1224
102 100 1200,408,1224,1224
103 100 1224,432,1224,1200
104 100 1224,432,1224,1200
105 100 1224,432,1224,1224
106 100 1224,432,1224,1224
107 100 1224,432,1224,1224
108 100 1224,456,1224,1200
109 100 1224,456,1224,1200
110 100 1224,456,1224,1200
111 100 1248,480,1224,1200
112 100 1272,528,1224,1224
113 100 1248,600,1224,1200
114 100 1200,648,1224,1224
115 100 1176,672,1224,1200
116 100 1176,696,1224,1200
117 100 1152,720,1224,1200
118 100 1104,768,1224,1200
119 100 1080,792,1224,1200
120 100 1056,816,1224,1200
121 100 1056,816,1224,1224
122 100 1032,840,1224,1200
123 100 1032,840,1224,1224
124 100 1032,840,1224,1224
125 100 1032,840,1224,1224
126 100 1032,840,1224,1224
127 100 1032,840,1224,1200
128 100 1032,840,1224,1200
129 100 1056,840,1224,1200
130 100 1056,816,1224,1200
131 100 1104,768,1224,1224
132 100 1152,720,1224,1200
133 100 1200,648,1224,1200
134 100 1248,576,1224,1224
135 100 1272,528,1224,1224
136 100 1272,504,1224,1224
137 100 1248,504,1224,1200
138 100 1248,480,1224,1224
139 100 1272,480,1224,1224
140 100 1272,480,1224,1224
141 100 1272,480,1224,1200
142 100 1248,480,1224,1224
143 100 1248,480,1224,1200
144 100 1248,480,1224,1200
145 100 1248,480,1224,1200
146 100 1248,480,1224,1200
147 100 1248,456,1224,1224
148 100 1248,456,1224,1224
149 100 1248,456,1224,1224
150 100 1248,456,1224,1224
151 100 1248,456,1224,1224
152 100 1248,456,1224,1200
153 100 1248,456,1224,1200
154 100 1248,456,1224,1200
155 100 1248,456,1224,1200
156 100 1248,456,1224,1200
157 100 1272,432,1224,1224
158 100 1272,432,1224,1224
159 100 1272,432,1224,1224
160 100 1248,432,1224,1224
161 100 1248,432,1224,1200
162 100 1248,432,1224,1200
163 100 1248,408,1224,1224
164 100 1248,408,1224,1224
165 100 1224,408,1224,1200
166 100 1224,384,1224,1224
167 100 1224,384,1224,1200
168 100 1200,360,1224,1200
169 100 1176,312,1224,1224
170 100 1152,288,1224,1200
171 100 1128,264,1224,1200
172 100 1128,240,1224,1224
173 100 1104,240,1224,1200
174 100 1104,216,1224,1224
175 100 1104,216,1224,1200
176 100 1104,216,1224,1200
177 100 1104,216,1224,1200
178 100 1080,216,1224,1200
179 100 1080,192,1224,1224
180 100 1080,192,1224,1200
181 100 1056,168,1224,1224
182 100 1056,168,1224,1224
183 100 1056,168,1224,1200
184 100 1056,168,1224,1200
185 100 1056,168,1224,1200
186 100 1056,168,1224,1200
187 100 1056,168,1224,1200
188 100 1056,168,1224,1200
189 100 1056,168,1224,1200
190 100 1056,168,1224,1200
191 100 1032,144,1224,1224
192 100 1032,144,1224,1224
193 100 1032,144,1224,1224
194 100 1032,144,1224,1200
195 100 1032,144,1224,1224
196 100 1032,144,1224,1224
197 100 1056,168,1224,1224
198 100 1080,216,1224,1224
199 100 1128,288,1224,1224
200 100 1200,384,1224,1224
201 100 1248,480,1224,1200
202 100 1272,504,1224,1224
203 100 1272,528,1224,1200
204 100 1272,552,1224,1200
205 100 1272,528,1224,1224
206 100 1272,552,1224,1200
207 100 1272,528,1224,1224
208 100 1296,528,1224,1224
209 100 1272,528,1224,1200
210 100 1272,528,1224,1200
211 100 1272,528,1224,1200
212 100 1272,504,1224,1224
213 100 1272,504,1224,1224
214 100 1272,528,1224,1200
215 100 1272,528,1224,1200
216 100 1272,528,1224,1200
217 100 1272,528,1224,1200
218 100 1272,528,1224,1200
219 100 1248,528,1224,1200
220 100 1248,504,1224,1224
221 100 1248,504,1224,1224
222 100 1248,504,1224,1224
223 100 1224,504,1224,1224
224 100 1224,504,1224,1224
225 100 1224,528,1224,1200
226 100 1200,528,1224,1200
227 100 1176,528,1224,1200
228 100 1152,528,1224,1200
229 100 1104,528,1224,1224
230 100 1080,552,1224,1200
231 100 1032,552,1224,1200
232 100 1008,552,1224,1200
233 100 960,552,1224,1200
234 100 936,552,1224,1200
235 100 912,528,1224,1224
236 100 912,528,1224,1200
237 100 888,528,1224,1200
238 100 888,528,1224,1200
239 100 888,528,1224,1200
240 100 864,528,1224,1200
241 100 864,528,1224,1224
242 100 840,528,1224,1200
243 100 840,528,1224,1200
244 100 840,528,1224,1200
245 100 816,528,1224,1200
246 100 816,552,1224,1200
247 100 792,552,1224,1200
248 100 768,576,1224,1224
249 100 744,600,1224,1224
250 100 744,624,1224,1200
251 100 720,648,1224,1200
252 100 720,648,1224,1200
253 100 720,648,1224,1200
254 100 696,648,1224,1224
255 100 696,648,1224,1200
256 100 696,648,1224,1200
257 100 696,648,1224,1200
258 100 696,648,1224,1200
259 100 696,648,1224,1200
260 100 696,648,1224,1200
261 100 696,648,1224,1200
262 100 696,648,1224,1200
263 100 696,648,1224,1200
264 100 696,648,1224,1200
265 100 696,624,1224,1224
266 100 696,624,1224,1200
267 100 696,624,1224,1200
268 100 672,624,1224,1200
269 100 672,624,1224,1200
270 100 672,624,1224,1200
271 100 648,624,1224,1200
272 100 648,624,1224,1200
273 100 648,600,1224,1224
274 100 624,600,1224,1224
275 100 624,624,1224,1200
276 100 600,624,1224,1200
277 100 552,624,1224,1224
278 100 504,648,1224,1200
279 100 456,672,1224,1200
280 100 432,672,1224,1224
281 100 408,672,1224,1224
282 100 384,672,1224,1224
283 100 360,696,1224,1200
284 100 360,672,1224,1224
285 100 360,672,1224,1224
286 100 336,672,1224,1224
287 100 336,672,1224,1224
288 100 336,672,1224,1224
289 100 336,672,1224,1224
290 100 312,672,1224,1224
291 100 312,672,1224,1224
292 100 312,672,1224,1224
293 100 312,672,1224,1224
294 100 312,672,1224,1224
295 100 312,672,1224,1224
296 100 312,672,1224,1224
297 100 312,672,1224,1224
298 100 312,672,1224,1200
299 100 312,648,1224,1224
300 100 336,624,1224,1200
301 100 360,600,1224,1200
302 100 360,576,1224,1200
303 100 360,552,1224,1200
304 100 384,528,1224,1200
305 100 360,480,1224,1224
306 100 360,480,1224,1200
307 100 336,432,1224,1224
308 100 312,432,1224,1200
309 100 312,432,1224,1200
310 100 312,408,1224,1200
311 100 312,408,1224,1200
312 100 288,384,1224,1224
313 100 288,384,1224,1200
314 100 264,360,1224,1200
315 100 240,336,1224,1200
316 100 216,288,1224,1224
317 100 192,264,1224,1200
318 100 168,240,1224,1200
319 100 144,192,1224,1224
320 100 120,192,1224,1200
321 100 120,168,1224,1200
322 100 96,144,1224,1224
323 100 72,144,1224,1200
324 100 72,120,1224,1200
325 100 48,96,1224,1224
326 100 48,96,1224,1200
327 100 48,72,1224,1224
328 100 72,96,1224,1200
329 100 72,72,1224,1224
330 100 72,72,1224,1224
331 100 72,72,1224,1224
332 100 72,72,1224,1200
333 100 96,72,1224,1200
334 100 120,72,1224,1224
335 100 168,96,1224,1200
336 100 264,120,1224,1200
337 100 360,144,1224,1200
338 100 456,168,1224,1200
339 100 552,168,1224,1200
340 100 624,168,1224,1200
341 100 696,168,1224,1200
342 100 744,168,1224,1224
343 100 792,168,1224,1224
344 100 816,192,1224,1200
345 100 864,192,1224,1200
346 100 888,192,1224,1224
347 100 912,192,1224,1224
348 100 936,216,1224,1200
349 100 960,216,1224,1200
350 100 984,216,1224,1224
351 100 984,240,1224,1200
352 100 1008,240,1224,1200
353 100 1032,240,1224,1200
354 100 1032,240,1224,1224
355 100 1056,240,1224,1224
356 100 1080,264,1224,1200
357 100 1104,264,1224,1224
358 100 1128,264,1224,1224
359 100 1152,288,1224,1224
360 100 1200,312,1224,1200
361 100 1224,336,1224,1200
362 100 1248,336,1224,1200
363 100 1272,336,1224,1224
364 100 1272,336,1224,1224
365 100 1272,336,1224,1224
366 100 1296,336,1224,1224
367 100 1296,336,1224,1224
368 100 1296,336,1224,1224
369 100 1296,336,1224,1224
370 100 1296,336,1224,1200
371 100 1296,336,1224,1200
372 100 1296,336,1224,1200
373 100 1296,336,1224,1200
374 100 1296,336,1224,1200
375 100 1296,336,1224,1200
376 100 1296,336,1224,1200
377 100 1320,336,1224,1200
378 100 1320,336,1224,1200
379 100 1320,336,1224,1200
380 100 1320,336,1224,1200
381 100 1320,336,1224,1200
382 100 1320,336,1224,1200
383 100 1320,336,1224,1200
384 100 1320,336,1224,1200
385 100 1320,336,1224,1200
