0 100 24,672,1224,1224
1 100 24,672,1224,1224
2 100 24,672,1224,1224
3 100 24,672,1224,1224
4 100 24,672,1224,1224
5 100 24,672,1224,1224
6 100 24,672,1224,1224
7 100 24,672,1224,1224
8 100 24,672,1224,1224
9 100 24,672,1224,1224
10 100 24,672,1224,1224
11 100 24,672,1224,1224
12 100 24,672,1224,1224
13 100 24,672,1224,1224
14 100 24,672,1224,1224
15 100 24,672,1224,1224
16 100 24,672,1224,1224
17 100 24,672,1224,1224
18 100 24,672,1224,1224
19 100 24,672,1224,1224
20 100 24,672,1224,1224
21 100 24,672,1224,1224
22 100 24,672,1224,1224
23 100 24,672,1224,1224
24 100 24,696,1224,1200
25 100 0,696,1224,1200
26 100 0,720,1224,1200
27 100 0,720,1224,1224
28 100 0,720,1224,1224
29 100 0,792,1224,1200
30 100 0,840,1224,1224
31 100 0,864,1224,1200
32 100 0,864,1224,1200
33 100 0,936,1224,1200
34 100 168,960,1224,1200
35 100 2424,984,1224,1176
36 100 2424,984,1224,1176
37 100 1464,984,1224,1176
38 100 912,1008,1224,1152
39 100 912,1008,1224,1152
40 100 912,1008,1224,1152
41 100 1296,1008,1224,1152
42 100 1296,1008,1224,1152
43 100 1032,1008,1224,1152
44 100 552,1008,1224,1152
45 100 0,1032,1224,1128
46 100 0,1032,1224,1128
47 100 0,1032,1224,1128
48 100 0,1008,1224,1152
49 100 1152,1008,1224,1152
50 100 1536,1008,1224,1152
51 100 2304,984,1224,1176
52 100 2376,984,1224,1176
53 100 48,960,1224,1200
54 100 240,936,1224,1224
55 100 0,912,1224,1200
56 100 72,912,1224,1200
57 100 24,864,1224,1224
58 100 48,864,1224,1200
59 100 48,864,1224,1200
60 100 0,816,1224,1224
61 100 48,816,1224,1200
62 100 48,816,1224,1200
63 100 48,792,1224,1200
64 100 24,768,1224,1200
65 100 48,768,1224,1200
66 100 48,768,1224,1200
67 100 0,744,1224,1200
68 100 72,720,1224,1224
69 100 72,720,1224,1224
70 100 72,720,1224,1224
71 100 24,720,1224,1200
72 100 24,720,1224,1200
73 100 96,696,1224,1200
74 100 24,672,1224,1224
75 100 24,672,1224,1224
76 100 120,672,1224,1200
77 100 24,648,1224,1200
78 100 48,648,1224,1200
79 100 48,648,1224,1200
80 100 24,648,1224,1200
81 100 24,648,1224,1200
82 100 3432,648,1224,1200
83 100 3432,648,1224,1200
84 100 3432,648,1224,1200
85 100 3384,624,1224,1200
86 100 48,600,1224,1224
87 100 3408,600,1224,1200
88 100 3456,600,1224,1200
89 100 3456,600,1224,1200
90 100 3384,576,1224,1200
91 100 3384,576,1224,1200
92 100 3576,552,1224,1224
93 100 0,552,1224,1224
94 100 0,552,1224,1224
95 100 3528,552,1224,1200
96 100 24,528,1224,1224
97 100 3408,528,1224,1200
98 100 3408,528,1224,1200
99 100 3456,528,1224,1200
100 100 3576,504,1224,1224
101 100 3624,504,1224,1224
102 100 3624,504,1224,1224
103 100 3480,504,1224,1200
104 100 3600,480,1224,1224
105 100 3600,480,1224,1224
106 100 3600,480,1224,1224
107 100 3504,504,1224,1200
108 100 3408,504,1224,1200
109 100 3360,504,1224,1224
110 100 3360,504,1224,1224
111 100 3456,528,1224,1200
112 100 3408,528,1224,1200
113 100 3360,528,1224,1224
114 100 3360,528,1224,1224
115 100 3648,528,1224,1224
116 100 3600,528,1224,1224
117 100 3600,528,1224,1224
118 100 3600,528,1224,1224
119 100 3576,528,1224,1224
120 100 3576,528,1224,1224
121 100 3528,528,1224,1224
122 100 3528,528,1224,1224
123 100 3528,528,1224,1224
124 100 3528,528,1224,1224
125 100 3456,552,1224,1200
126 100 3360,552,1224,1224
127 100 3624,552,1224,1224
128 100 3624,552,1224,1224
129 100 3480,576,1224,1200
130 100 3768,576,1224,1224
131 100 3696,576,1224,1224
132 100 3696,576,1224,1224
133 100 3600,576,1224,1224
134 100 3576,576,1224,1224
135 100 3576,576,1224,1224
136 100 3576,576,1224,1224
137 100 3576,576,1224,1224
138 100 3552,600,1224,1200
139 100 3552,600,1224,1200
140 100 3552,600,1224,1200
141 100 3504,600,1224,1200
142 100 3504,600,1224,1200
143 100 3504,600,1224,1200
144 100 3504,600,1224,1200
145 100 3456,600,1224,1200
146 100 3456,600,1224,1200
147 100 3432,600,1224,1200
148 100 3432,600,1224,1200
149 100 3432,600,1224,1200
150 100 3432,600,1224,1200
151 100 3432,600,1224,1200
152 100 3432,600,1224,1200
153 100 3408,600,1224,1200
154 100 3432,600,1224,1200
155 100 3432,600,1224,1200
156 100 3432,600,1224,1200
157 100 3432,600,1224,1200
158 100 3432,600,1224,1200
159 100 3432,600,1224,1200
160 100 3504,600,1224,1200
161 100 96,576,1224,1224
162 100 3408,576,1224,1200
163 100 3408,576,1224,1200
164 100 96,552,1224,1224
165 100 96,552,1224,1200
166 100 0,528,1224,1224
167 100 0,528,1224,1224
168 100 0,504,1224,1224
169 100 48,504,1224,1200
170 100 0,504,1224,1200
171 100 0,504,1224,1200
172 100 48,480,1224,1224
173 100 0,480,1224,1200
174 100 0,480,1224,1200
175 100 0,480,1224,1200
176 100 0,456,1224,1200
177 100 0,456,1224,1200
178 100 0,456,1224,1200
179 100 0,432,1224,1224
180 100 0,432,1224,1200
181 100 0,432,1224,1200
182 100 0,432,1224,1200
183 100 0,408,1224,1224
184 100 0,408,1224,1224
185 100 0,408,1224,1224
186 100 0,408,1224,1224
187 100 0,408,1224,1200
188 100 24,384,1224,1224
189 100 48,384,1224,1224
190 100 48,384,1224,1224
191 100 72,384,1224,1200
192 100 72,384,1224,1200
193 100 72,360,1224,1224
194 100 96,360,1224,1200
195 100 96,360,1224,1200
196 100 120,336,1224,1224
197 100 144,336,1224,1200
198 100 144,336,1224,1200
199 100 144,336,1224,1200
200 100 168,336,1224,1200
201 100 168,312,1224,1200
202 100 168,312,1224,1200
203 100 168,312,1224,1200
204 100 192,312,1224,1200
205 100 192,288,1224,1224
206 100 192,288,1224,1224
207 100 216,288,1224,1224
208 100 216,288,1224,1224
209 100 216,288,1224,1224
210 100 264,288,1224,1200
211 100 264,288,1224,1200
212 100 264,288,1224,1200
213 100 288,264,1224,1224
214 100 288,264,1224,1224
215 100 288,264,1224,1224
216 100 312,264,1224,1224
217 100 336,264,1224,1224
218 100 360,264,1224,1224
219 100 360,264,1224,1224
220 100 384,288,1224,1200
221 100 408,288,1224,1224
222 100 408,288,1224,1200
223 100 408,288,1224,1200
224 100 456,288,1224,1224
225 100 456,288,1224,1224
226 100 504,312,1224,1224
227 100 504,312,1224,1224
228 100 504,312,1224,1224
229 100 528,336,1224,1224
230 100 528,336,1224,1224
231 100 552,360,1224,1224
232 100 552,360,1224,1224
233 100 552,360,1224,1224
234 100 552,360,1224,1224
235 100 576,360,1224,1200
236 100 576,336,1224,1224
237 100 576,336,1224,1224
238 100 576,336,1224,1224
239 100 576,336,1224,1224
240 100 600,360,1224,1200
241 100 600,360,1224,1200
242 100 600,360,1224,1200
243 100 600,360,1224,1200
244 100 624,360,1224,1200
245 100 624,360,1224,1200
246 100 624,360,1224,1200
247 100 624,360,1224,1200
248 100 624,360,1224,1200
249 100 648,360,1224,1200
250 100 648,360,1224,1200
251 100 648,360,1224,1200
252 100 648,360,1224,1224
253 100 672,360,1224,1224
254 100 672,360,1224,1224
255 100 672,384,1224,1200
256 100 696,384,1224,1224
257 100 720,384,1224,1224
258 100 720,384,1224,1224
259 100 744,408,1224,1200
260 100 792,432,1224,1200
261 100 792,432,1224,1200
262 100 792,432,1224,1200
263 100 840,456,1224,1200
264 100 888,504,1224,1200
265 100 912,528,1224,1200
266 100 912,528,1224,1200
267 100 888,624,1224,1200
268 100 864,672,1224,1200
269 100 888,672,1224,1224
270 100 888,672,1224,1224
271 100 888,696,1224,1200
272 100 888,696,1224,1200
273 100 864,720,1224,1224
274 100 888,744,1224,1200
275 100 888,744,1224,1200
276 100 888,744,1224,1200
277 100 888,744,1224,1224
278 100 912,768,1224,1224
279 100 912,792,1224,1200
280 100 912,792,1224,1200
281 100 912,816,1224,1200
282 100 912,816,1224,1200
283 100 912,816,1224,1200
284 100 912,816,1224,1200
285 100 936,816,1224,1200
286 100 936,816,1224,1200
287 100 936,816,1224,1200
288 100 960,816,1224,1200
289 100 960,816,1224,1200
290 100 960,816,1224,1200
291 100 1008,792,1224,1200
292 100 1008,792,1224,1200
293 100 1032,792,1224,1200
294 100 1032,792,1224,1200
295 100 1080,792,1224,1200
296 100 1080,768,1224,1224
297 100 1128,768,1224,1200
298 100 1128,768,1224,1200
299 100 1176,744,1224,1200
300 100 1176,744,1224,1200
301 100 1200,744,1224,1200
302 100 1224,720,1224,1224
303 100 1248,720,1224,1200
304 100 1248,720,1224,1200
305 100 1272,720,1224,1200
306 100 1296,720,1224,1200
307 100 1320,696,1224,1224
308 100 1320,696,1224,1200
309 100 1344,696,1224,1200
