0 100 288,456,1224,1200
1 100 312,456,1224,1224
2 100 3600,432,1224,1224
3 100 3456,408,1224,1200
4 100 3456,408,1224,1200
5 100 3552,408,1224,1200
6 100 3552,408,1224,1200
7 100 3456,408,1224,1200
8 100 3456,408,1224,1200
9 100 3504,432,1224,1200
10 100 384,456,1224,1200
11 100 3504,432,1224,1200
12 100 3504,432,1224,1200
13 100 3504,432,1224,1200
14 100 408,456,1224,1200
15 100 3576,408,1224,1224
16 100 3576,408,1224,1224
17 100 312,456,1224,1224
18 100 3576,408,1224,1224
19 100 3576,408,1224,1224
20 100 432,432,1224,1224
21 100 3528,432,1224,1200
22 100 3528,432,1224,1200
23 100 456,432,1224,1224
24 100 3528,432,1224,1200
25 100 3528,432,1224,1200
26 100 480,432,1224,1200
27 100 3480,432,1224,1200
28 100 3480,432,1224,1200
29 100 336,456,1224,1224
30 100 3432,432,1224,1200
31 100 3432,432,1224,1200
32 100 3408,432,1224,1200
33 100 504,456,1224,1200
34 100 3408,432,1224,1200
35 100 3480,432,1224,1200
36 100 3480,432,1224,1200
37 100 3432,432,1224,1200
38 100 3432,432,1224,1200
39 100 336,456,1224,1224
40 100 3408,432,1224,1200
41 100 600,456,1224,1200
42 100 3408,432,1224,1200
43 100 3408,432,1224,1200
44 100 3408,432,1224,1200
45 100 3432,432,1224,1200
46 100 3432,432,1224,1200
47 100 3456,432,1224,1200
48 100 696,456,1224,1200
49 100 3456,432,1224,1200
50 100 3432,432,1224,1200
51 100 3432,432,1224,1200
52 100 0,432,1224,1224
53 100 744,456,1224,1200
54 100 0,432,1224,1224
55 100 3696,432,1224,1224
56 100 768,456,1224,1200
57 100 3696,432,1224,1224
58 100 3672,432,1224,1224
59 100 3672,432,1224,1224
60 100 3648,432,1224,1224
61 100 3648,432,1224,1224
62 100 840,480,1224,1200
63 100 3624,432,1224,1224
64 100 3624,432,1224,1224
65 100 3552,456,1224,1200
66 100 3552,456,1224,1200
67 100 888,480,1224,1200
68 100 3456,456,1224,1200
69 100 3456,456,1224,1200
70 100 0,456,1224,1224
71 100 888,456,1224,1224
72 100 0,456,1224,1224
73 100 3600,432,1224,1224
74 100 3600,432,1224,1224
75 100 3600,432,1224,1224
76 100 3600,432,1224,1224
77 100 912,456,1224,1200
78 100 3600,456,1224,1200
79 100 3600,456,1224,1200
80 100 3672,432,1224,1224
81 100 936,456,1224,1200
82 100 3672,432,1224,1224
83 100 3672,432,1224,1224
84 100 3672,432,1224,1224
85 100 984,480,1224,1224
86 100 3648,432,1224,1224
87 100 3648,432,1224,1224
88 100 3672,432,1224,1224
89 100 960,480,1224,1200
90 100 3672,432,1224,1224
91 100 3672,432,1224,1224
92 100 3672,432,1224,1224
93 100 3432,432,1224,1200
94 100 3432,432,1224,1200
95 100 3456,432,1224,1200
96 100 3456,432,1224,1200
97 100 3480,432,1224,1200
98 100 3480,432,1224,1200
99 100 3528,432,1224,1200
100 100 3528,432,1224,1200
101 100 3672,408,1224,1224
102 100 3672,408,1224,1224
103 100 3384,408,1224,1200
104 100 408,432,1224,1224
105 100 3384,408,1224,1200
106 100 3432,408,1224,1200
107 100 3432,408,1224,1200
108 100 3456,408,1224,1200
109 100 3456,408,1224,1200
110 100 3456,408,1224,1200
111 100 3456,408,1224,1200
112 100 3456,408,1224,1200
113 100 3456,408,1224,1200
114 100 3456,408,1224,1200
115 100 3456,408,1224,1200
116 100 3408,408,1224,1200
117 100 3408,408,1224,1200
118 100 3408,408,1224,1200
119 100 3408,408,1224,1200
120 100 432,432,1224,1224
121 100 3408,408,1224,1200
122 100 3408,408,1224,1200
123 100 3408,408,1224,1200
124 100 3408,408,1224,1200
125 100 3432,408,1224,1200
126 100 3432,408,1224,1200
127 100 3456,408,1224,1200
128 100 3456,408,1224,1200
129 100 3456,408,1224,1200
130 100 3456,408,1224,1200
131 100 3408,408,1224,1200
132 100 3408,408,1224,1200
133 100 0,408,1224,1224
134 100 0,408,1224,1224
135 100 3552,432,1224,1200
136 100 3552,432,1224,1200
137 100 3456,432,1224,1200
138 100 3456,432,1224,1200
139 100 3600,432,1224,1224
140 100 3600,432,1224,1224
141 100 3504,480,1224,1200
142 100 3504,480,1224,1200
143 100 3552,528,1224,1200
144 100 3552,528,1224,1200
145 100 0,552,1224,1224
146 100 0,552,1224,1224
147 100 24,552,1224,1224
148 100 24,552,1224,1224
149 100 72,552,1224,1224
150 100 72,552,1224,1224
151 100 120,552,1224,1224
152 100 120,552,1224,1224
153 100 3384,552,1224,1200
154 100 3384,552,1224,1200
155 100 3408,552,1224,1200
156 100 3408,552,1224,1200
157 100 3456,552,1224,1200
158 100 3456,552,1224,1200
159 100 0,552,1224,1200
160 100 0,552,1224,1200
161 100 0,552,1224,1200
162 100 504,456,1224,1200
163 100 0,552,1224,1200
164 100 0,552,1224,1200
165 100 0,552,1224,1200
166 100 0,552,1224,1200
167 100 0,552,1224,1200
168 100 24,552,1224,1200
169 100 24,552,1224,1200
170 100 48,528,1224,1224
171 100 48,528,1224,1224
172 100 48,528,1224,1224
173 100 48,528,1224,1224
174 100 72,528,1224,1224
175 100 72,528,1224,1224
176 100 96,528,1224,1224
177 100 96,528,1224,1224
178 100 96,528,1224,1224
179 100 96,528,1224,1224
180 100 144,528,1224,1224
181 100 144,528,1224,1224
182 100 120,528,1224,1224
183 100 528,456,1224,1200
184 100 120,528,1224,1224
185 100 120,528,1224,1224
186 100 120,528,1224,1224
187 100 3384,528,1224,1200
188 100 3384,528,1224,1200
189 100 3408,528,1224,1200
190 100 3408,528,1224,1200
191 100 120,528,1224,1224
192 100 576,456,1224,1200
193 100 120,528,1224,1224
194 100 120,528,1224,1224
195 100 120,528,1224,1224
196 100 96,528,1224,1224
197 100 96,528,1224,1224
198 100 96,528,1224,1224
199 100 96,528,1224,1224
200 100 3384,528,1224,1200
201 100 3384,528,1224,1200
202 100 96,528,1224,1224
203 100 96,528,1224,1224
204 100 72,528,1224,1224
205 100 72,528,1224,1224
206 100 96,528,1224,1224
207 100 96,528,1224,1224
208 100 120,528,1224,1224
209 100 120,528,1224,1224
210 100 96,528,1224,1224
211 100 96,528,1224,1224
212 100 120,528,1224,1224
213 100 120,528,1224,1224
214 100 144,528,1224,1224
215 100 144,528,1224,1224
216 100 120,528,1224,1224
217 100 120,528,1224,1224
218 100 120,528,1224,1224
219 100 120,528,1224,1224
220 100 120,528,1224,1224
221 100 120,528,1224,1224
222 100 144,528,1224,1224
223 100 144,528,1224,1224
224 100 648,456,1224,1200
225 100 120,528,1224,1224
226 100 120,528,1224,1224
227 100 144,528,1224,1224
228 100 144,528,1224,1224
229 100 3384,528,1224,1200
230 100 3384,528,1224,1200
231 100 3408,528,1224,1200
232 100 3408,528,1224,1200
233 100 3432,528,1224,1200
234 100 3432,528,1224,1200
235 100 3456,528,1224,1200
236 100 3456,528,1224,1200
237 100 0,528,1224,1200
238 100 0,528,1224,1200
239 100 24,504,1224,1224
240 100 24,504,1224,1224
241 100 48,504,1224,1224
242 100 48,504,1224,1224
243 100 24,528,1224,1200
244 100 24,528,1224,1200
245 100 24,528,1224,1200
246 100 24,528,1224,1200
247 100 48,504,1224,1224
248 100 48,504,1224,1224
249 100 96,504,1224,1224
250 100 3504,240,1224,1200
251 100 96,504,1224,1224
252 100 48,504,1224,1224
